Simulation ID,P-Value,KS-Statistic,,P-Values,,
387,1.86786E-37,0.292,1,,,
388,7.53326E-55,0.354,1,,,
389,3.78349E-47,0.328,1,,,
390,1.38851E-48,0.333,1,,,
391,1.01875E-52,0.347,1,,,
392,5.23953E-48,0.331,1,,,
393,1.6096E-51,0.343,1,,,
394,3.78349E-47,0.328,1,,,
395,2.41788E-44,0.318,1,,,
396,1.6388E-39,0.3,1,,,
397,2.03719E-52,0.346,1,,,
398,5.13491E-46,0.324,1,,,
399,6.82588E-42,0.309,1,,,
400,3.55543E-45,0.321,1,,,
401,1.86604E-49,0.336,1,,,
402,3.78349E-47,0.328,1,,,
403,1.86914E-45,0.322,1,,,
404,1.61495E-43,0.315,1,,,
405,4.31948E-41,0.306,1,,,
406,3.21035E-38,0.295,1,,,
407,4.56259E-44,0.317,1,,,
408,9.80666E-46,0.323,1,,,
409,1.27876E-44,0.319,1,,,
410,3.02922E-43,0.314,1,,,
411,5.67066E-43,0.313,1,,,
412,9.82535E-39,0.297,1,,,
413,2.69995E-48,0.332,1,,,
414,2.69995E-48,0.332,1,,,
415,5.67066E-43,0.313,1,,,
416,8.98495E-40,0.301,1,,,
417,1.27876E-44,0.319,1,,,
418,8.98495E-40,0.301,1,,,
419,3.67562E-42,0.31,1,,,
420,3.19308E-51,0.342,1,,,
421,3.3461E-37,0.291,1,,,
422,3.70739E-55,0.355,1,,,
423,2.46305E-50,0.339,1,,,
424,1.86914E-45,0.322,1,,,
425,7.49975E-32,0.269,1,,,
426,1.38851E-48,0.333,1,,,
427,3.65033E-49,0.335,1,,,
428,9.80666E-46,0.323,1,,,
429,5.23953E-48,0.331,1,,,
430,8.59251E-44,0.316,1,,,
431,5.23953E-48,0.331,1,,,
432,1.39943E-46,0.326,1,,,
433,2.69995E-48,0.332,1,,,
434,2.68334E-46,0.325,1,,,
435,9.52007E-50,0.337,1,,,
436,5.13491E-46,0.324,1,,,
437,1.96138E-47,0.329,1,,,
438,7.28376E-47,0.327,1,,,
439,3.65033E-49,0.335,1,,,
440,4.91627E-40,0.302,1,,,
441,5.0843E-53,0.348,1,,,
442,5.98224E-37,0.29,1,,,
443,1.6096E-51,0.343,1,,,
444,3.34428E-60,0.371,1,,,
445,3.65033E-49,0.335,1,,,
446,1.27876E-44,0.319,1,,,
447,3.09177E-54,0.352,1,,,
448,6.40237E-59,0.367,1,,,
449,5.23953E-48,0.331,1,,,
450,1.05942E-42,0.312,1,,,
451,1.05942E-42,0.312,1,,,
452,1.26508E-41,0.308,1,,,
453,3.65033E-49,0.335,1,,,
454,1.59083E-60,0.372,1,,,
455,3.65033E-49,0.335,1,,,
456,4.8472E-50,0.338,1,,,
457,2.54688E-32,0.271,1,,,
458,6.34892E-31,0.265,1,,,
459,4.56259E-44,0.317,1,,,
460,1.06738E-36,0.289,1,,,
461,2.98311E-39,0.299,1,,,
462,9.52007E-50,0.337,1,,,
463,3.67562E-42,0.31,1,,,
464,8.59251E-44,0.316,1,,,
465,7.12648E-49,0.334,1,,,
466,7.95767E-41,0.305,1,,,
467,1.24907E-50,0.34,1,,,
468,1.38851E-48,0.333,1,,,
469,6.24476E-54,0.351,1,,,
470,1.01875E-52,0.347,1,,,
471,1.39943E-46,0.326,1,,,
472,1.96138E-47,0.329,1,,,
473,1.87316E-35,0.284,1,,,
474,1.27876E-44,0.319,1,,,
475,2.68465E-40,0.303,1,,,
476,1.52767E-54,0.353,1,,,
477,6.32169E-51,0.341,1,,,
478,2.33997E-41,0.307,1,,,
479,2.68334E-46,0.325,1,,,
480,1.06038E-35,0.285,1,,,
481,8.76442E-30,0.26,1,,,
482,6.32169E-51,0.341,1,,,
483,6.74955E-45,0.32,1,,,
484,1.6096E-51,0.343,1,,,
485,3.78349E-47,0.328,1,,,
486,5.45777E-34,0.278,1,,,
487,3.65033E-49,0.335,1,,,
488,1.52767E-54,0.353,1,,,
489,1.39943E-46,0.326,1,,,
490,7.95767E-41,0.305,1,,,
491,6.32169E-51,0.341,1,,,
492,2.53237E-53,0.349,1,,,
493,9.80666E-46,0.323,1,,,
494,1.27876E-44,0.319,1,,,
495,6.32169E-51,0.341,1,,,
496,1.6096E-51,0.343,1,,,
497,9.80666E-46,0.323,1,,,
498,2.41788E-44,0.318,1,,,
499,1.05942E-42,0.312,1,,,
500,3.09177E-54,0.352,1,,,
501,6.32169E-51,0.341,1,,,
502,6.32169E-51,0.341,1,,,
503,1.82089E-55,0.356,1,,,
504,2.46305E-50,0.339,1,,,
505,1.24907E-50,0.34,1,,,
506,1.0406E-37,0.293,1,,,
507,3.70739E-55,0.355,1,,,
508,4.36628E-56,0.358,1,,,
509,1.61495E-43,0.315,1,,,
510,2.33997E-41,0.307,1,,,
511,8.59251E-44,0.316,1,,,
512,5.98224E-37,0.29,1,,,
513,1.61495E-43,0.315,1,,,
514,7.95767E-41,0.305,1,,,
515,1.39943E-46,0.326,1,,,
516,1.01875E-52,0.347,1,,,
517,5.67066E-43,0.313,1,,,
518,9.52007E-50,0.337,1,,,
519,2.41788E-44,0.318,1,,,
520,8.98495E-40,0.301,1,,,
521,1.39943E-46,0.326,1,,,
522,4.56259E-44,0.317,1,,,
523,1.82089E-55,0.356,1,,,
524,2.46305E-50,0.339,1,,,
525,4.36628E-56,0.358,1,,,
526,5.67066E-43,0.313,1,,,
527,1.0406E-37,0.293,1,,,
528,2.69995E-48,0.332,1,,,
529,1.77781E-38,0.296,1,,,
530,1.9753E-42,0.311,1,,,
531,1.9753E-42,0.311,1,,,
532,4.31948E-41,0.306,1,,,
533,1.39943E-46,0.326,1,,,
534,3.02922E-43,0.314,1,,,
535,5.23953E-48,0.331,1,,,
536,2.03719E-52,0.346,1,,,
537,1.77781E-38,0.296,1,,,
538,2.69995E-48,0.332,1,,,
539,2.33997E-41,0.307,1,,,
540,3.19308E-51,0.342,1,,,
541,2.33997E-41,0.307,1,,,
542,7.12648E-49,0.334,1,,,
543,9.52007E-50,0.337,1,,,
544,1.0406E-37,0.293,1,,,
545,3.55543E-45,0.321,1,,,
546,1.2588E-53,0.35,1,,,
547,3.65033E-49,0.335,1,,,
548,5.13491E-46,0.324,1,,,
549,2.13168E-56,0.359,1,,,
550,1.86604E-49,0.336,1,,,
551,5.23953E-48,0.331,1,,,
552,2.33997E-41,0.307,1,,,
553,4.06564E-52,0.345,1,,,
554,9.80666E-46,0.323,1,,,
555,4.56259E-44,0.317,1,,,
556,1.39943E-46,0.326,1,,,
557,6.74955E-45,0.32,1,,,
558,1.39943E-46,0.326,1,,,
559,1.52767E-54,0.353,1,,,
560,1.77781E-38,0.296,1,,,
561,1.01475E-47,0.33,1,,,
562,3.67562E-42,0.31,1,,,
563,3.78349E-47,0.328,1,,,
564,4.31948E-41,0.306,1,,,
565,3.78349E-47,0.328,1,,,
566,1.18708E-57,0.363,1,,,
567,3.09177E-54,0.352,1,,,
568,4.56259E-44,0.317,1,,,
569,2.03719E-52,0.346,1,,,
570,9.80666E-46,0.323,1,,,
571,4.31948E-41,0.306,1,,,
572,4.06564E-52,0.345,1,,,
573,1.96138E-47,0.329,1,,,
574,1.86914E-45,0.322,1,,,
575,4.8472E-50,0.338,1,,,
576,3.02922E-43,0.314,1,,,
577,3.02922E-43,0.314,1,,,
578,5.4193E-39,0.298,1,,,
579,1.6388E-39,0.3,1,,,
580,3.65033E-49,0.335,1,,,
581,8.09763E-52,0.344,1,,,
582,8.98495E-40,0.301,1,,,
583,3.55543E-45,0.321,1,,,
584,1.52767E-54,0.353,1,,,
585,5.13491E-46,0.324,1,,,
586,4.06564E-52,0.345,1,,,
587,5.67066E-43,0.313,1,,,
588,1.69188E-61,0.375,1,,,
589,1.52767E-54,0.353,1,,,
590,7.12648E-49,0.334,1,,,
591,1.86604E-49,0.336,1,,,
592,1.46309E-40,0.304,1,,,
593,1.61495E-43,0.315,1,,,
594,8.59251E-44,0.316,1,,,
595,2.46305E-50,0.339,1,,,
596,1.86914E-45,0.322,1,,,
597,4.56259E-44,0.317,1,,,
598,3.3461E-37,0.291,1,,,
599,7.12648E-49,0.334,1,,,
600,1.61495E-43,0.315,1,,,
601,3.02922E-43,0.314,1,,,
602,6.32169E-51,0.341,1,,,
603,6.82588E-42,0.309,1,,,
604,1.77781E-38,0.296,1,,,
605,1.24907E-50,0.34,1,,,
606,2.69995E-48,0.332,1,,,
607,3.67562E-42,0.31,1,,,
608,3.55543E-45,0.321,1,,,
609,1.27876E-44,0.319,1,,,
610,1.46309E-40,0.304,1,,,
611,2.33997E-41,0.307,1,,,
612,4.91627E-40,0.302,1,,,
613,9.52007E-50,0.337,1,,,
614,4.31948E-41,0.306,1,,,
615,8.09763E-52,0.344,1,,,
616,1.86914E-45,0.322,1,,,
617,1.9753E-42,0.311,1,,,
618,5.4193E-39,0.298,1,,,
619,1.33253E-58,0.366,1,,,
620,2.69995E-48,0.332,1,,,
621,6.74955E-45,0.32,1,,,
622,5.0843E-53,0.348,1,,,
623,1.0406E-37,0.293,1,,,
624,3.70739E-55,0.355,1,,,
625,8.59251E-44,0.316,1,,,
626,1.01475E-47,0.33,1,,,
627,3.65033E-49,0.335,1,,,
628,6.32169E-51,0.341,1,,,
629,1.01475E-47,0.33,1,,,
630,4.06564E-52,0.345,1,,,
631,3.67562E-42,0.31,1,,,
632,2.68465E-40,0.303,1,,,
633,3.19308E-51,0.342,1,,,
634,3.67562E-42,0.31,1,,,
635,5.78565E-38,0.294,1,,,
636,3.67562E-42,0.31,1,,,
637,3.3461E-37,0.291,1,,,
638,4.06564E-52,0.345,1,,,
639,1.86914E-45,0.322,1,,,
640,8.59251E-44,0.316,1,,,
641,5.78565E-38,0.294,1,,,
642,7.95767E-41,0.305,1,,,
643,1.96138E-47,0.329,1,,,
644,5.0843E-53,0.348,1,,,
645,2.03719E-52,0.346,1,,,
646,2.68334E-46,0.325,1,,,
647,2.68465E-40,0.303,1,,,
648,2.68334E-46,0.325,1,,,
649,3.78349E-47,0.328,1,,,
650,2.98311E-39,0.299,1,,,
651,1.46309E-40,0.304,1,,,
652,2.03719E-52,0.346,1,,,
653,3.78349E-47,0.328,1,,,
654,1.01875E-52,0.347,1,,,
655,1.86786E-37,0.292,1,,,
656,3.3461E-37,0.291,1,,,
657,3.65033E-49,0.335,1,,,
658,1.06038E-35,0.285,1,,,
659,2.69995E-48,0.332,1,,,
660,1.77781E-38,0.296,1,,,
661,1.46309E-40,0.304,1,,,
662,1.38851E-48,0.333,1,,,
663,8.59251E-44,0.316,1,,,
664,1.96138E-47,0.329,1,,,
665,9.80666E-46,0.323,1,,,
666,6.40237E-59,0.367,1,,,
667,4.56259E-44,0.317,1,,,
668,3.67562E-42,0.31,1,,,
